University of California Santa Cruz,,,,,,,,,,,,,,,
Grade Distribution Fall 2011,,,,,,,,,,,,,,,

This provides the number of undergraduate students in a given class who received each grade.  Classes displayed are undergraduate classes with 10 or more students enrolled; classes in which all or all but one students who completed the class received the same grade have been omitted.  Definitions of grades can be found at http://registrar.ucsc.edu/grading/chart.html.,,,,,,,,,,,,,,,
Created 3/27/2012,,,,,,,,,,,,,,,
Instructor,Subject-Catalog Number,Course Title,A+,A,A-,B+,B,B-,C+,C,D,F,P,NP,W
,BIOE- 127L,Ichthyology Lab,5,8,7,3,0,1,0,0,0,0,0,0,0
"Bernasconi,Claude F",CHEM- 112A,Organic Chemistry,4,9,12,15,12,8,9,6,0,4,0,0,0
"Bernasconi,Natalie Renee",EDUC- 180,Intro To Teaching,1,69,20,9,5,2,1,1,0,0,1,0,1
"Bernstein,Rebecca A",ASTR- 2,Overview Universe,7,6,8,16,21,6,0,44,20,3,42,0,4
"Bertram,Eva C",POLI- 190L,Poverty Politics,0,1,10,4,3,2,1,0,0,0,0,0,0
"Bhalla,Needhi",BIOL- 105,Genetics,1,3,32,22,25,62,27,97,44,37,0,0,10
"Bhattacharya,Nandini",MATH- 2,Col Algbra/Calculus,2,27,9,6,39,11,8,59,1,35,11,0,2
,MATH- 3,Precalculus,1,47,10,7,86,18,0,119,0,80,1,2,3
"Bierman,James H",THEA- 157,Playwriting,8,67,3,2,35,1,0,17,6,3,5,0,0
,THEA- 163A,Shakespeare,0,10,8,3,5,2,2,1,0,0,2,0,0
"Blackburn,Courtney A",PHYE- 25A,Fencing: Epee,0,0,0,0,0,0,0,0,0,0,15,3,1
,PHYE- 25B,Fencing: Foil,0,0,0,0,0,0,0,0,0,0,11,4,0
,PHYE- 25C,Fencing: Sabre,0,0,0,0,0,0,0,0,0,0,11,1,2
,PHYE- 30H,Tai Chi Chuan,0,0,0,0,0,0,0,0,0,0,25,4,5
"Blackmore,Chelsea",ANTH- 176B,Mesoamer Archaeolog,3,0,6,10,12,6,4,6,1,6,5,0,1
"Blood,Harold Christian",COWL- 80A,UD: Imagining Justice,0,0,4,12,0,1,0,0,0,0,0,0,0
"Bohn,Mariko Tajima",JAPN- 1,Japanese Language,9,24,6,7,4,5,4,0,2,2,0,0,1
"Bowin,John F",PHIL- 9,Intro To Logic,17,10,16,10,11,12,4,7,5,6,10,2,4
,PHIL- 100A,Ancient Greek Phil,35,22,16,7,2,1,2,0,1,1,1,0,1
"Bowman,Barry J",BIOL- 15,Research Reports,0,22,0,0,0,0,0,0,0,0,3,0,0
"Brahinsky,Joshua D",AMST- 180,TopicsAmericanStudies,0,8,7,3,3,3,1,1,0,0,1,0,0
"Brandt,Kirsten L.",THEA- 40,Intro To Directing,0,7,10,6,4,6,4,1,0,1,2,0,1
"Brandwajn,Alexandre",CMPE- 107,Probability/Stats,3,6,9,12,13,8,15,1,0,7,0,0,0
"Brenneis,Donald L",ANTH- 142,Anthropology of Law,3,9,6,9,4,4,1,1,2,1,0,0,0
,ANTH- 194S,Anthroplgy of Sound,0,13,4,4,0,0,0,0,0,0,0,0,0
,LGST- 142,Anthropology of Law,2,12,5,8,4,1,0,0,0,0,2,0,0
"Brown,Michael K",POLI- 121,Black Politics,2,1,5,2,3,3,1,2,2,1,0,0,0
"Brundage,David T",HIS- 80X,Civil Rights Movmnt,5,19,24,12,15,4,2,2,1,2,4,0,0
"Bryant-Anderson,Rachel Lynne",CLNI- 80A,UD:Intl/Global Issues,0,6,6,4,19,7,0,2,1,0,0,0,0
"Bryant,Michael L",CRWN- 70,Intro to Radio,3,5,3,0,1,0,1,1,0,0,0,0,0
"Burke,Jennifer Leigh",SOCY- 169,Social Inequality,0,1,3,4,8,2,5,7,1,1,0,0,0
